category,vendor,part_number,description,unit_cost,currency,lead_time_days,preferred,usage_count,notes
Transmitter_Level,E+H,Micropilot FMR51,Radar Level Transmitter 80 GHz,2300.00,USD,98,true,8,High accuracy
Transmitter_Level,Rosemount,3301,Guided Wave Radar Level Transmitter,1850.00,USD,98,true,6,Interface measurement
Transmitter_Level,E+H,Liquiphant FTL51,Vibrating Fork Level Switch,650.00,USD,70,true,10,High/Low level alarms

# Control Valves
Valve_Control,Fisher,EZ,Globe Control Valve DN50 Class 300,3200.00,USD,126,true,10,General service
Valve_Control,Samson,3241,Globe Control Valve DN25 PN40,2800.00,USD,112,true,8,Smaller sizes
Valve_Control,Fisher,ED,Globe Control Valve DN100 Class 150,4500.00,USD,140,true,5,Large flow capacity

# On-Off Valves
Valve_OnOff,Emerson,Keystone,Ball Valve DN50 with Pneumatic Actuator,1500.00,USD,84,true,12,Automated isolation
Valve_OnOff,Worcester,88 Series,Ball Valve DN25 with Electric Actuator,1200.00,USD,70,true,8,Electric actuation preferred

# Safety/Relief Valves
Valve_Safety,Crosby,JOS,Safety Relief Valve 2x3 ASME VIII,1200.00,USD,98,true,6,Overpressure protection
Valve_Safety,Anderson Greenwood,4300,Pilot-Operated Relief Valve 3x4,2800.00,USD,112,true,3,Large capacity relief

# Switchgear & MCCs
Switchgear,Schneider,Prisma Plus P,MV Switchgear 15kV,28000.00,USD,196,true,4,Medium voltage distribution
MCC,ABB,MNS,Motor Control Center 480VAC,35000.00,USD,168,true,5,Standard MCC
MCC,Schneider,NF,Motor Control Center 480VAC,32000.00,USD,168,true,3,Alternative to ABB

# Variable Frequency Drives
VFD,ABB,ACS580,Variable Frequency Drive 30HP 480VAC,2400.00,USD,84,true,15,General purpose
VFD,Schneider,Altivar 61,VFD 50HP 480VAC,3100.00,USD,84,true,10,High performance
VFD,ABB,ACS880,Industrial Drive 75HP 480VAC,5200.00,USD,98,true,6,Heavy duty

# Transformers
Transformer,ABB,ONAN,Oil-Immersed Transformer 1000kVA 13.2kV/480V,45000.00,USD,224,true,3,Power distribution
Transformer,Schneider,Trihal,Dry-Type Transformer 500kVA 480V/208V,18000.00,USD,168,true,4,Indoor installations

# Cybersecurity - Firewalls
Firewall_OT,Fortinet,FortiGate 60F,Next-Gen Firewall for OT,1200.00,USD,56,true,8,IEC 62443 compliant
Firewall_OT,Tofino,Xenon,Industrial Firewall DPI,3500.00,USD,70,true,5,Purpose-built for OT
Firewall_OT,Cisco,ISA 3000,Industrial Security Appliance,4200.00,USD,84,true,4,Cisco integration

# Network Switches - Industrial
Switch_Industrial,Allen-Bradley,Stratix 5700,Industrial Ethernet Switch 24-port,3800.00,USD,70,true,12,Rockwell ecosystem
Switch_Industrial,Cisco,IE-4000,Industrial Ethernet Switch 16-port,2900.00,USD,70,true,10,Managed switch
Switch_Industrial,Hirschmann,MACH4000,Industrial Switch 24-port Layer 3,4200.00,USD,84,true,5,High-end networking

# Cables - Signal (price per meter)
Cable_Signal,Belden,9842,Instrumentation Cable 18 AWG 2-pair Shielded,1.20,USD,28,true,0,Standard instrument cable
Cable_Signal,Alpha Wire,6712,Multi-conductor Cable 20 AWG 4-pair PLTC,1.50,USD,28,true,0,Multi-pair signals
Cable_Signal,Belden,3105A,RS-485 Cable 24 AWG Twisted Pair,0.95,USD,28,true,0,Serial communications

# Cables - Power (price per meter)
Cable_Power,General Cable,THHN,Power Cable 12 AWG 600V,0.80,USD,21,true,0,Branch circuits
Cable_Power,Southwire,XHHW-2,Power Cable 10 AWG 90C,1.20,USD,21,true,0,Feeders
Cable_Power,General Cable,USE-2,Underground Service Entrance 2 AWG,3.50,USD,28,true,0,Underground runs

# Cables - Fiber Optic (price per meter)
Cable_Fiber,Corning,Altos,Fiber Optic Cable Single-mode 12-strand,2.50,USD,42,true,0,Long-distance comms
Cable_Fiber,Belden,FiberExpress,Industrial Fiber Cable Multimode 6-strand,1.80,USD,35,true,0,Short plant distances

# Junction Boxes & Enclosures
Enclosure_JB,Hoffman,A1210CH,Junction Box 12x10x6 NEMA 4X Stainless,285.00,USD,35,true,15,Hazardous area rated
Enclosure_JB,Rittal,KL,Junction Box 16x12x8 IP66 Polycarbonate,320.00,USD,42,true,10,Non-metallic

# Terminal Blocks
Terminal,Phoenix Contact,UK 2.5,DIN Rail Terminal 2.5mm² 24A,0.85,USD,14,true,0,Standard terminals
Terminal,Weidmuller,WDU 2.5,Feed-Through Terminal 2.5mm²,0.90,USD,14,true,0,Alternative to Phoenix

# Power Supplies
Power_Supply,Phoenix Contact,QUINT,DIN Rail Power Supply 24VDC 10A,320.00,USD,28,true,12,Redundancy capable
Power_Supply,ABB,CP-E,Power Supply 24VDC 5A,180.00,USD,21,true,8,Cost-effective

# UPS Systems
UPS,APC,Smart-UPS,UPS 3000VA 120V Rackmount,1200.00,USD,42,true,8,Control room backup
UPS,Eaton,9PX,UPS 2200VA 120V Tower,980.00,USD,35,true,6,Small systems

# Grounding & Lightning Protection
Grounding,Erico,Cadweld,Exothermic Welding System,450.00,USD,21,true,5,Ground grid connections
Surge_Protection,Phoenix Contact,FLT-CP-PLUS,Surge Protector 24VDC I/O,85.00,USD,14,true,20,Signal protection
